transaction_row_id,date_current,description_current,info_current,amount_current,rule_id_current,owner_current,class_current,category_current,sub_category_current,change_description,change_reason
3092023__nordnet_salkkuraportti__arborrealtytrust__salkku1__861475__actual__nordnet_salkkuraportti_preprocessedcsv,2023-09-30,Arbor Realty Trust,Salkku 1,8614.75,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
2822024__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-02-28,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
30112023__nordnet_salkkuraportti__arborrealtytrust__salkku1__687918__actual__nordnet_salkkuraportti_preprocessedcsv,2023-11-30,Arbor Realty Trust,Salkku 1,6879.18,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
30112024__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-11-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3042023__nordnet_salkkuraportti__arborrealtytrust__salkku1__624523__actual__nordnet_salkkuraportti_preprocessedcsv,2023-04-30,Arbor Realty Trust,Salkku 1,6245.23,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3062023__nordnet_salkkuraportti__arborrealtytrust__salkku1__814725__actual__nordnet_salkkuraportti_preprocessedcsv,2023-06-30,Arbor Realty Trust,Salkku 1,8147.25,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3062024__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-06-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3092024__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-09-30,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3112023__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2023-01-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
3112024__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv,2024-01-31,Arbor Realty Trust,Salkku 1,8239.58,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
